Food Name,Standard Quantity,Type,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Glycemic Index,Suitable for Diabetes,Suitable for Blood Pressure,Calcium (mg),Cholesterol (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Monounsaturated Fats (g),Nutrition Density,Phosphorus (mg),Polyunsaturated Fats (g),Potassium (mg),Saturated Fats (g),Selenium (mcg),Sodium (mg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin B11 (mcg),Vitamin B12 (mcg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B5 (mg),Vitamin B6 (mg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
cheese pizza pizza hut,100g,Carbohydrates,260,11.478,10.48,29.942,1.7,3.2,30,1,1,200.6,23,0.003,1.9,21.1,0.3,2.8,256.272,239,1.8,166.1,4.8,0.022,0.7,0.075,0.3,0,0.033,0.2,3.2,0.3,0.1,0,0,0.7,0.039,41.6,1.6
cheese popcorn,100g,Carbohydrates,58,0.965,3.571,5.501,1.1,0,55,1,1,12.4,1.2,0.044,0.2,10,0.097,1.1,24.284,39.7,1.7,28.7,0.7,0.096,0.002,0.09,0.009,0.06,0.076,0.017,0.2,0.089,0.015,0.074,0,0,0,0.3,0.2
cheese puffs,100g,Carbohydrates,197,2.089,12.735,18.506,0.6,1.1,30,1,1,20,2.5,0.038,0.7,6.3,0.033,3.8,54.854,44.8,6.9,66.2,1.9,0.031,0.3,0.012,0.01,0.039,0.035,0.065,1.6,0.3,0.092,0,0,1.5,0.043,0.6,0.2
cheese ravioli canned,100g,Carbohydrates,186,5.952,3.472,32.736,3.1,9,30,1,1,79.9,7.3,0.3,1.8,36.3,0.4,1,127.3,121,0.4,561.4,1.7,0.043,0.7,0,0.2,0.011,0,0.2,2.6,0.7,0.2,0,0,2.1,0.067,0.196,0.9
cheese sauce,100g,Fat,30,1.552,2.276,0.828,0.071,0.033,0,1,1,46.7,5.7,0.1,0.047,2.9,0.084,0.7,51.263,34.4,0.2,21.3,1.2,0.078,0.002,0.003,0.035,0.08,0,0.015,0.073,0.083,0.082,0.067,0.023,0.096,0.095,10,0.2
cheese soup,100g,Carbohydrates,203,1.959,9.499,27.419,5.5,9.3,30,1,1,89.3,7.4,0.2,0.4,29.8,0.5,2.7,135.1,81.8,0.3,91.8,6.1,0.036,1.7,0.2,0.023,0.055,0,0.3,0.8,0.2,0.034,0,0,1.4,0.074,0.203,0.4
cheese spread,100g,Fat,708,16.74,67.55,8.271,0,8.4,30,1,1,170.4,216,0.02,2.7,14.4,0,19.4,267.8,218.4,2.5,268.8,43.2,0.065,1.2,0.7,0.071,0.027,0.011,0.5,2.3,0,0.051,0,0.091,1.8,0.098,0.14,1.2
cheese tortellini,100g,Protein,332,66.4,7.378,0,2.1,1,30,1,1,164.2,45.4,0.053,1.6,22.7,0,2.2,241.181,229,0.5,96.1,3.9,0.064,0.4,0.079,0.3,0.051,0.038,0.3,2.9,0,0.015,0,0,0.2,0.087,0.033,1.1
cheeseburger,100g,Protein,292,58.4,6.489,0,1.6,5.9,30,1,1,0.04,41.4,105.8,0.1,3.2,25.3,5.1,60.289,0.3,1.4,154.1,6,204.7,0.6,0.5,0.087,0.4,0.083,0.091,0.2,3.5,0.3,1.1,0.7,0.042,0.3,0.055,0.021
cheeseburger burger king,100g,Protein,380,76.001,8.444,0,3.7,6,30,1,1,123.7,59.9,0.1,3.3,31.9,0.4,7.6,201.6,190.2,2,236.7,9.1,0.028,0.8,0,0.4,0,0,0.3,4.5,0.3,0.1,0.3,0,0.1,0.093,0.059,3.2
cheeseburger mcdonalds,100g,Protein,313,62.599,6.956,0,1.3,7.4,30,1,1,198.7,41.7,0.1,2.8,23.8,0.3,4.3,266,166.6,0.4,238,5.3,0,0.7,0,0.3,0.095,0.02,0.3,4.8,0,0,0.7,0,0,0,0.054,2.3
cheesecake,100g,Carbohydrates,257,4.329,17.711,20.072,0.3,17.4,30,1,1,40.8,44,0.039,0.5,8.8,0.1,6.9,84.8,74.4,1.3,72,7.9,0.079,0.4,0.1,0.061,0.011,0.03,0.2,0.2,0.5,0.1,0.3,0.078,0.4,0.093,36.5,0.4
chenin blanc white wine,100g,Carbohydrates,118,0.59,0,28.91,0,0,40,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0
cherimoya,100g,Carbohydrates,152,1.52,3.04,29.64,11,30.2,35,1,1,101,0,23.5,0.2,49,40,0.1,54.8,0.2,0.4,219,0.5,674.5,84,0,0,0.2,0.034,0,0.3,1.5,0.8,0.6,29.6,0,0.6,0.187,0
cherimoya (peru),100g,Carbohydrates,175,0,0,43.75,14,6.993,30,1,1,121,4.178,10.219,1.479,64,7.348,1.557,34.86,81.581,1.174,254,1.031,56.024,237,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
cherries,100g,Carbohydrates,33,2.302,0.256,5.372,2,1,39,1,1,76,0,1,0.026,19,0.9,0.093,1.715,0.004,0.047,292,0.053,17.8,415,0,0,0.071,0.063,0,0.011,0.052,0.083,0.079,0.6,0,0.005,6.6,0
cherry pie,100g,Carbohydrates,486,0,0,100,0,0,60,1,1,18,0,0.1,3.3,16.2,0.4,9.6,119.444,54,5.8,138.6,5.4,0.011,0.3,0.027,0.3,0.081,0,0.2,2.3,0.2,0.016,1.8,0,0,0,0,0.4
chervil dried,100g,Carbohydrates,5,0.383,0.002,0.862,0.2,0,0,1,1,25.6,0,0.044,0.6,2.5,0.043,0.033,28.777,8.6,0.031,90.1,0.066,0.031,0.076,0,0.055,0.037,0,0.09,0.1,0,0.096,1,0,0,0,0.1,0.2
cheshire cheese,100g,Fat,110,6.582,8.676,1.396,0,0,30,1,1,182,29.1,0.035,0.005,5.9,0.02,2.5,198.767,131.3,0.2,26.9,5.5,0.006,0.2,0.004,0.082,0.074,0.071,0.099,0.071,0.1,0.075,0,0,0,0,10.7,0.8
chestnuts,100g,Fat,271,0,30.111,0,8,10.6,5,1,1,406,0,0.507,0.91,205,2.115,0.759,16.04,107,0.869,388,0.414,1.2,160,1,0.243,0.724,0,0.175,1.342,0.485,0.497,26,0.46,0.5,7.8,40.48,0.57
chestnuts (various european countries),100g,Fat,177,1.369,18.247,1.825,7,3.963,17,1,1,179,39.069,2.67,1.455,235,2.115,7.485,19.44,147.754,4.689,525,6.559,18.204,285,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,48.487,1.417
chestnuts cooked,100g,Carbohydrates,37,0.59,0.394,7.774,0,0,30,1,1,13,0,0.1,0.5,15.3,0.2,0.1,30,28,0.2,202.3,0.016,0,0.046,0,0.095,0.099,0,0.053,0.2,0.046,0.021,7.6,0,0,0,19.3,0.02
chestnuts raw,100g,Fat,309,0,34.333,0,11.7,0,30,1,1,39.2,0,0.6,1.5,46.4,1.4,1.1,187.6,134.9,1.3,751.1,0.6,0,0.02,0,0.3,0.03,0,0.2,1.7,0.7,0.5,62.4,0,0,0,0.07,0.8
chestnuts roasted,100g,Carbohydrates,37,0.51,0.306,8.052,0.8,1.6,30,1,1,4.4,0,0.075,0.1,5,0.2,0.1,17.9,16.1,0.1,88.8,0.009,0.037,0.043,0,0.08,0.096,0,0.011,0.2,0.046,0.075,3.9,0,0.08,0.008,6.1,0.086
chewing gum,100g,Carbohydrates,11,0,0.03,2.683,0.012,2,40,1,1,0,0,0,0,0,0,0.06,2.973,0,0.015,0.05,0.058,0.045,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0
chewing gum sugarless,100g,Carbohydrates,5,0,0.008,1.231,0.078,0,70,1,1,0.4,0,0,0,0,0,0.081,2.378,0,0.038,0,0.09,0.03,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0
chia seed oil,100g,Fat,120,0,13.333,0,0,3.963,0,1,1,0,39.069,2.67,1.455,0,2.115,7.485,2.49,147.754,4.689,0,6.559,18.204,0,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
chia seeds,100g,Carbohydrates,486,15.702,29.215,40.064,34.4,1.55,1,1,1,631,0,1.22,5.73,335,7.348,7.527,30.39,642,28.73,407,3.663,25.4,16,0,1.644,0.079,0,0.161,3.08,0.507,0.473,0.6,3.945,0.31,4.3,6.96,4.34
chia seeds (mexico),100g,Fat,565,9.33,50.798,17.624,6,1.55,17,1,1,55,0,1.22,5.73,142,2.115,7.527,7.15,642,28.73,136,3.663,25.4,28,0,1.644,0.724,0,0.161,3.08,0.485,0.473,0.6,0.46,0.31,4.3,6.96,4.34
chia seeds dried,100g,Carbohydrates,138,4.482,8.297,11.349,9.7,0,35,1,1,178.6,0,0.3,2.2,94.8,0.8,0.7,216.3,243.4,6.7,115.2,0.9,0.035,0.047,0,0.2,0.098,0,0.08,2.5,0,0,0.5,0,0.1,0,1.6,1.3
chicken,100g,Protein,199,28.981,5.796,7.728,0,0,17,1,1,99,87,0.075,1.41,34,4.058,8.221,16.59,153,4.582,263,5.772,22.3,465,104,0.06,0.081,0.27,0.193,6.662,1.874,0.268,0,0.474,0.27,4.9,53.08,2.23
chicken (dark meat),100g,Protein,124,11.945,7.963,1.138,1,0,20,1,1,93,50,0.05,1.3,21,4.058,3.279,38.75,153,1.978,293,2.25,18.4,598,53,0,0.081,1,0.1,2.4,1.874,0.19,0,0.474,0.32,2.3,64.9,2.5
chicken (white meat),100g,Protein,236,48.589,2.776,4.165,0,0,7,1,1,99,50,0.05,1.3,24,4.058,3.279,31.06,153,1.978,333,2.25,18.4,564,53,0,0.081,1,0.1,2.4,1.874,0.19,0,0.474,0.32,2.3,44.47,2.5
chicken 65,100g,Protein,290,58.001,6.444,0,1,0,0,1,1,60,87,0.075,1.41,35,4.058,8.221,19.4,153,4.582,390,5.772,22.3,680,104,0.06,0.081,0.27,0.193,6.662,1.874,0.268,0,0.474,0.27,4.9,0.053,2.23
chicken and rice casserole homade,100g,Carbohydrates,27,2.03,1.015,2.436,0.3,0,30,1,1,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chicken back cooked,100g,Protein,93,8.221,6.68,0,0,0,0,1,1,6.5,28.1,0.052,0.4,5.8,0.016,2.6,21.425,43.2,1.4,52.2,1.8,0.055,0.091,0.005,0.026,0.035,0.052,0.035,1.6,0.3,0.048,0,0.084,0.074,0.051,21.9,0.7
chicken back raw,100g,Fat,188,8.38,17.164,0,0,0,0,1,1,7.7,46.6,0.066,0.6,8.9,0.024,7.2,34.564,66.7,3.6,85,4.9,0.009,0.043,0.087,0.022,0.084,0.026,0.063,2.9,0.5,0.1,0.9,0,0.2,0.03,34.3,0.7
chicken biryani,100g,Carbohydrates,380,0,0,95,2,0,50,1,1,40,87,0.075,1.41,40,7.348,8.221,11.63,153,4.582,220,5.772,22.3,500,104,0.06,0.079,0.27,0.193,6.662,0.507,0.268,0,3.945,0.27,4.9,0.053,2.23
chicken bouillon dry,100g,Protein,11,0.7,0.6,0.7,0,0.7,0,1,1,7.5,0.5,0,0.061,2.2,0.048,0.2,9.502,6.6,0.2,12.4,0.1,0.079,1,0,0.078,0.086,0.004,0.008,0.016,0.085,0.026,0.048,0,0.06,0,0.043,0.083
chicken box mcdonalds,100g,Carbohydrates,70,0.238,4.762,6.548,0,0.5,30,1,1,0,0,0,0,0,0,2.8,9.7,0,0.011,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chicken breast,100g,Protein,165,32.705,3.798,0,0,0.09,0,1,1,11,90,0.041,0.51,32,4.058,3.131,38.55,244,0.945,248,1.958,22.3,63,11,0.078,0.081,0.3,0.139,9.303,1.874,0.307,0,0.474,0.33,0,63.497,0.86
chicken breast cooked,100g,Protein,114,17.978,4.676,0,0,0,0,1,1,8.1,48.7,0.012,0.6,15.7,0.024,1.8,30.552,124.1,1,142.1,1.3,0.046,0.058,0.08,0.018,0.092,0.074,0.056,7.4,0.5,0.3,0,0.019,0.2,0.004,36.2,0.6
chicken breast raw,100g,Protein,299,37.414,16.594,0,0,0,0,1,1,19.1,111.4,0.003,1.3,43.5,0.017,6.6,72.834,302.8,3.4,382.8,4.6,0.029,0.1,0.026,0.1,0.082,0.057,0.1,17.2,1.4,0.9,0,0.053,0.5,0,0.121,1.4
chicken broth,100g,Protein,12,0.96,0.48,0.96,0,0,30,1,1,14.1,0,0.077,0.5,2.4,0.1,0.1,33.6,30.6,0.042,188,0.008,0,0.9,0,0.028,0,0,0.03,1.2,0.04,0.072,16.5,0,0,0,0.23,0.2
chicken broth dry,100g,Carbohydrates,10,0.778,0.222,1.222,0,0,30,1,1,9.1,0.6,0,0.059,2.7,0.049,0.013,11.198,9.2,0.069,18,0.055,0.075,1.2,0,0.052,0.062,0.03,0.018,0.2,0.009,0.089,0.07,0,0.074,0,0.1,0.079
chicken broth soup,100g,Protein,78,11.483,2.69,1.966,0,0.9,30,1,1,15.1,2.5,0.3,1,5,0.5,1.2,31.7,151.2,0.6,428.4,0.8,0.024,1.6,0,0.054,0.092,0.067,0.1,5.6,0.1,0.035,0,0,0.048,0,0.232,0.5
chicken chow mein,100g,Protein,513,90,10,0,6,10.5,30,1,1,126.8,96.6,0.2,4,66.4,0.6,3.7,256.797,326.2,7.4,749,3,0.086,1.9,0.093,0.2,0,0.092,0.1,8.9,1.6,1.1,12.1,0,2.6,0.1,0,1.9
chicken crispy breast kentucky fried chicken,100g,Protein,375,75.001,8.333,0,0,0,30,1,1,37.8,106.4,0.6,0.8,33.6,0.2,7.6,103.428,301,8.8,361.2,5,0.09,0.8,0.023,0.067,0,0.083,0.1,11.4,1.9,0.4,0,0,0,0,0.072,1.1
chicken crispy drumsticks kentucky fried chicken,100g,Protein,156,11.792,10.094,4.497,0,0,30,1,1,14.3,62.1,0.2,0.5,12,0.06,3.4,41.248,112.9,3.6,135.1,2.2,0.064,0.4,0.071,0.045,0,0.028,0.1,2.6,0.6,0.1,0,0,0,0,29.3,1
chicken crispy wings kentucky fried chicken,100g,Fat,148,9.194,10.093,5.097,0,0,30,1,1,15.4,47.1,0.2,0.3,9.7,0.015,3.3,40.161,84.5,3.8,98.1,2.1,0.003,0.3,0.033,0.029,0,0.051,0.033,2.4,0.5,0.1,0,0,0,0,18.4,0.5
chicken curry,100g,Protein,185,37,4.111,0,2,2.6,0,1,1,28,22,0.084,0.73,36,4.058,2.401,28.36,78,2.025,305,1.564,5.3,580,48,0.048,0.081,0.08,0.078,2.118,1.874,0.15,8.6,0.474,1.13,9.4,0.079,0.53
chicken drumstick fried,100g,Protein,193,16.143,11.545,6.13,0.2,0,30,1,1,12.2,61.9,0.063,1,14.4,0.004,4.6,46.519,105.8,2.7,133.9,3,0.018,0.2,0.028,0.049,0.065,0.061,0.2,3.7,1.2,0.2,0,0,0,0,38,1.7
chicken drumstick raw,100g,Protein,211,42.2,4.689,0,0,0,0,1,1,13.3,122.4,0.039,0.8,26.6,0.064,4.9,50.075,220.8,2.6,296.6,3.3,0.063,0.1,0.067,0.1,0.039,0.042,0.2,6.4,1.4,0.4,0,0.044,0.3,0.007,0.096,2.6
chicken dumplings soup,100g,Carbohydrates,235,13.67,13.469,14.775,1.2,1.4,30,1,1,35.8,80.5,0.3,1.5,8.9,1.2,6.1,80.269,149,3.2,283.1,3.2,0.048,1.8,0.077,0.074,0.027,0.024,0.2,4.3,0.4,0.037,0,0,1.3,0.086,0.25,0.9
chicken egg roll,100g,Carbohydrates,158,8.443,3.618,22.916,1.9,4.5,30,1,1,37.6,11.2,0.056,1.4,24,0.3,1.1,84.75,94.4,1.5,224.8,0.8,0.032,0.4,0.085,0.2,0.013,0.019,0.1,2.9,0.5,0.2,9,0,0.3,0.072,43.3,0.4
chicken fajita strips,100g,Protein,13,1.826,0.537,0.215,0,0,0,1,1,1.2,8.3,0.034,0.097,2.1,0.099,0.2,3.66,26,0.1,26.7,0.2,0.018,0.044,0.041,0.028,0.062,0.011,0.021,0.4,0.005,0.049,0,0,0.031,0.015,6.6,0.1
chicken fat,100g,Fat,115,0,12.778,0,0,0,0,1,1,0,10.9,0,0,0,0,5.7,12.8,0,2.7,0,3.8,0.068,0,0,0,0,0,0,0,0,0,0,0.011,0.3,0,0.032,0
chicken feet cooked,100g,Protein,900,90,10,0,0,0,0,1,1,399.2,381,0.5,4.1,22.7,0,24.9,558.5,376.5,13.5,140.6,17.8,0.033,0.3,0.1,0.3,0.4,0.011,0.9,1.8,0,0.052,0,0.068,1.2,0.036,0,3.1
chicken flavored rice cooked,100g,Carbohydrates,317,6.22,8.025,54.973,1.6,1.5,30,1,1,16.3,0,0.1,2.2,23.3,0.7,3.3,89.138,83.9,2.7,135.1,1.7,0.088,0.9,0.068,0.3,0,0,0.018,3.3,0.4,0.1,0,0,0.6,0,0.162,1.1
chicken flavored rice raw,100g,Protein,601,88.496,10.876,0.628,2,4,30,1,1,30.2,0,0.3,4.7,52.1,1.7,0.6,184.3,211.7,0.8,257,0.7,0.011,2.1,0,1,0,0,0.2,8.6,0.9,0.3,0,0,0.3,0,0,2.3
chicken gizzard cooked,100g,Protein,223,44.599,4.956,0,0,0,0,1,1,24.7,536.5,0.2,4.6,4.4,0.1,0.8,77.3,274.1,0.5,259.6,1,0.047,0.069,0,0.094,0.074,0.095,0.3,4.5,0.7,0.1,0,0,0.3,0,0.099,6.4
chicken gravy,100g,Fat,188,4.495,13.289,12.605,1,1.9,30,1,1,47.6,4.8,0.2,1.1,4.8,0.5,6.1,80.872,69,3.6,259.4,3.4,0.02,1,0.088,0.091,0.02,0.057,0.1,1.1,0.076,0.012,0,0,0.3,0.046,0.203,1.9
chicken gumbo soup,100g,Carbohydrates,113,5.231,2.862,16.58,4,4.9,30,1,1,47.9,7.6,0.3,1.8,7.6,0.5,1.3,88.8,50.4,0.7,151.2,0.7,0.084,1.7,0,0.5,0.041,0,0.8,1.3,0.4,0.1,10.1,0,0.9,0.024,0.222,0.8
chicken heart cooked,100g,Protein,268,53.599,5.956,0,0,0,0,1,1,27.6,350.9,0.7,13.1,29,0.2,2.9,93.286,288.6,3.3,191.4,3.3,0.027,0.081,0.033,0.1,0.1,0.034,1.1,4.1,3.8,0.5,2.6,0,0,0,0.094,10.6
chicken kebab,100g,Protein,180,23.351,8.757,1.946,1,0,0,1,1,18,87,0.075,1.41,25,4.058,8.221,29.66,153,4.582,300,5.772,22.3,460,104,0.06,0.081,0.27,0.193,6.662,1.874,0.268,0,0.474,0.27,4.9,53.08,2.23
chicken korma,100g,Protein,320,64,7.111,0,1,0,0,1,1,50,87,0.075,1.41,35,4.058,8.221,17.53,153,4.582,380,5.772,22.3,650,104,0.06,0.081,0.27,0.193,6.662,1.874,0.268,0,0.474,0.27,4.9,0.053,2.23
chicken leg fried,100g,Protein,431,86.2,9.578,0,0.5,0,30,1,1,28.4,142.2,0.1,2.2,31.6,0.043,10.4,104.858,240.2,6.1,298.6,6.8,0.041,0.4,0.07,0.2,0.089,0.056,0.3,8.6,1.6,0.4,0,0,0,0,0.082,3.4
chicken leg raw,100g,Protein,736,90,10,0,0,0,0,1,1,31,319.9,0.2,2.4,65.4,0.088,22.8,145.973,533.2,11.5,698.3,15,0.091,0.3,0.018,0.3,0.053,0.096,0.5,16.3,3.4,1.1,0.7,0.033,0.8,0.096,0,5.1
chicken liver,100g,Protein,214,20.168,12.324,5.602,1,0,13,1,1,55,558,0.492,11.53,26,4.058,1.404,28.79,402,1.971,488,2.043,81.7,398,3948,0.289,0.081,16.71,1.976,10.953,1.874,0.749,27.7,0.474,0.81,0,61.906,3.95
chicken liver cooked,100g,Protein,76,11.862,2.939,0.525,0,0,0,1,1,0,248.2,4.4,0.2,5.7,11.9,0.6,15.238,0.2,0.6,194.5,0.9,138.6,0.079,0.006,1.9,0.1,0.2,0.015,1,6.1,3.7,0.4,1.2,0,0.3,28.7,0.052
chicken mandi,100g,Carbohydrates,420,0,0,100,3,0,45,1,1,80,87,0.075,1.41,30,7.348,8.221,14.87,153,4.582,390,5.772,22.3,720,104,0.06,0.079,0.27,0.193,6.662,0.507,0.268,0,3.945,0.27,4.9,0,2.23
chicken mcnuggets mcdonalds,100g,Fat,48,2.479,3.174,2.38,0,0.025,30,1,1,0,7,1.8,0.017,0.1,3.8,1.3,8.181,0.073,0.9,43.5,0.5,40.3,0.009,0.071,0,0.023,0,0.005,0.049,1.2,0.1,0.072,0.2,0,0,7.5,0
chicken meat raw,100g,Protein,900,90,10,0,0,0,0,1,1,101.2,690,0.4,8.3,184,0.2,57.4,434.3,1352.4,29.7,1738.8,39.7,0.1,0.6,0.4,0.6,0.039,0.069,1.1,62.6,8.4,3.2,14.7,0.054,2.8,0.054,0,12.1
chicken mushroom chowder soup,100g,Carbohydrates,431,16.189,23.684,38.273,7.5,0,30,1,1,0,32.3,0,2.6,0,0,4.5,99.1,0,9.4,0,6.2,0,1.8,0,0,0,0,0,0,0,0,10.8,0,0,0,0.454,0
chicken mushroom soup,100g,Carbohydrates,126,2.044,6.234,15.431,4,1,30,1,1,29,10.1,0.048,0.9,8.8,0.1,2.7,57.171,27.7,1.5,158.8,1.6,0.046,0.8,0.04,0.019,0.065,0.03,0.1,1.6,0.3,0.046,0,0,0.8,0.061,0.101,1
chicken neck cooked,100g,Protein,94,7.655,7.042,0,0,0,0,1,1,10.3,26.6,0.065,0.9,4.9,0.095,2.7,25.616,46.4,1.5,41,1.9,0.054,0.085,0.065,0.05,0.078,0.079,0.035,1.3,0.2,0.033,0,0.087,0.1,0.032,23.5,1
chicken neck raw,100g,Fat,149,7.149,13.378,0,0,0,0,1,1,9,49.5,0.075,1,6.5,0.093,5.3,30.146,56,2.8,68.5,3.6,0.073,0.027,0.066,0.079,0.05,0.028,0.021,1.8,0.4,0.005,0,0,0.2,0,30,0.9
chicken noodle soup,100g,Carbohydrates,145,7.215,4.71,18.438,2.7,0,55,1,1,0,24.2,18.2,0.4,2,24.2,1.6,33.513,0.3,1,115.1,1.2,145.4,2.1,0.029,0.011,0.2,0.097,0.001,0.2,3.7,0.5,0.1,0,0,0.2,0.267,0.095
chicken nuggets,100g,Fat,61,3.164,4.053,2.966,0.2,0.039,30,1,1,0.058,8.6,2.2,0.091,0.2,4.8,1.5,10.792,0.023,1.3,54.4,0.7,50.2,0.1,0.015,0.011,0.041,0.064,0.049,0.054,1.2,0.2,0.095,0.1,0.01,0.2,9.3,0.009
chicken of the woods,100g,Carbohydrates,44,1.76,0.754,7.543,2,0.6,41,1,1,74,129,0.057,0.93,72,7.348,7.332,51.26,251,2.177,270,4.627,38.2,443,26,0.078,0.079,0.45,0.161,7.454,0.507,0.212,0,3.945,0.12,0,57.23,1.57
chicken patty,100g,Fat,172,8.916,11.72,7.713,0.2,0,30,1,1,11.4,25.8,0.056,0.6,14.4,0.2,5,40.5,124.8,2.9,156.6,2.2,0.014,0.3,0,0.067,0.063,0.072,0.042,2.9,0.7,0.1,0,0,0.8,0.082,30.5,0.6
chicken pork bologna,100g,Fat,94,2.906,8.618,1.203,0,0,30,1,1,54.9,24.4,0.056,0.3,4.5,0.042,3.7,71.678,62.4,1.2,45.4,2.8,0,0.3,0.01,0.094,0.081,0.001,0.041,1,0.2,0.081,3.7,0,0.2,0.048,14.2,0.3
chicken pot pie,100g,Protein,598,90,10,0,3,7.2,30,1,1,63.4,51.3,0.1,1.8,33.2,0.6,11.9,177.7,226.5,8.3,317.1,12.6,0.003,1.2,0,0.2,0.1,0.024,0.03,4.5,1.1,0.2,3,0.024,1.1,0.034,0,1.3
chicken rice soup,100g,Carbohydrates,127,12.016,3.126,12.7,1,1.4,30,1,1,33.6,12,0.2,1.9,9.6,0.2,1.4,68.818,72,0.7,108,1,0.077,0.9,0.047,0.018,0.074,0.051,0.002,4.1,0.4,0.012,3.8,0,0.6,0.084,0.208,1
chicken salad,100g,Protein,196,39.199,4.356,0,2,0,10,1,1,36,30,0.03,0.61,23,4.058,3.25,34.68,33,6.22,282,3.45,10.9,384,42,0.024,0.081,0.38,0.071,1.669,1.874,0.11,1,0.474,2.2,0,0.066,1.04
chicken sandwich,100g,Protein,468,90,10,0,2.6,6.8,30,1,1,0.012,65.5,108.5,0.2,3.3,44.9,8.4,94.051,0.5,5.9,346,4,458.2,1.4,0.077,0.03,0.4,0.1,0.053,0.6,14.4,0.6,0.7,1.5,0.031,4.5,0,0.064
chicken sandwich with cheese,100g,Protein,632,90,10,0,0,0,30,1,1,257.6,77.5,0.2,3.6,43.3,0.4,13.7,374.2,405.8,9.9,332.9,12.4,0.073,1.2,0.2,0.4,0.1,0.092,0.5,9.1,1.3,0.4,3,0,0,0,0,2.9
chicken shawarma,100g,Protein,350,70,7.778,0,2,0,20,1,1,60,87,0.075,1.41,35,4.058,8.221,19.83,153,4.582,420,5.772,22.3,880,104,0.06,0.081,0.27,0.193,6.662,1.874,0.268,0,0.474,0.27,4.9,0.053,2.23
chicken skin roasted,100g,Protein,508,90,10,0,0,0,0,1,1,15.7,93,0.034,1.7,16.8,0.083,19.1,85.844,140,9.6,152.3,12.8,0.2,0.028,0.083,0.021,0.08,0.099,0.1,6.3,0.8,0.1,0,0.026,0.4,0.032,0,1.4
chicken soup,100g,Protein,86,9.794,1.938,7.345,0.6,2.1,10,1,1,37,29.4,0.2,1.7,13,0.2,2.9,64.716,110.3,1.3,262,1.9,0.099,1086,0.027,0.055,0.072,0.049,0.2,4.3,0.4,0.03,1.2,0,0.3,0.085,0.206,1
chicken spread,100g,Protein,88,6.45,6.258,1.469,0.2,0.3,30,1,1,9,31.4,0.049,0.5,6.7,0.083,2.7,31.972,49.8,1.3,59.4,1.8,0.029,0.4,0.076,0.06,0.048,0.064,0.003,1.5,0.2,0.016,0,0,0,0,32.1,0.6
chicken stock,100g,Carbohydrates,86,6.136,2.966,8.692,0,3.8,30,1,1,7.2,7.2,0.1,0.5,9.6,0,1.4,25.696,64.8,0.5,252,0.8,0.091,0.3,0.009,0.073,0.059,0,0.2,3.8,0,0.1,0.5,0,0.046,0.081,0.221,0.3
chicken strips burger king,100g,Carbohydrates,105,6.569,5.474,7.365,0.5,0,30,1,1,0.046,15.8,4.7,0.005,0.2,9.7,1.5,20.168,0.036,2.7,104.8,1,113.4,0.3,0.055,0.076,0.08,0.02,0.065,0.046,2.9,0.2,0.1,0.4,0,1.4,15.5,0.07
chicken tikka,100g,Protein,180,25,8,2,0,0,0,1,1,20,87,0.075,1.41,35,4.058,8.221,29.42,153,4.582,410,5.772,22.3,380,104,0.06,0.081,0.27,0.193,6.662,1.874,0.268,0,0.474,0.27,4.9,53.08,2.23
chicken tikka masala,100g,Protein,340,24.566,21.618,11.792,2,1.639,0,1,1,60,143.253,5.56,2.725,35,4.058,6.872,18.33,273.205,2.819,390,5.983,41.361,710,12.275,0.281,0.081,0.308,0.335,5.802,1.874,0.517,4.834,0.474,0.574,4.115,0.106,3.076
chicken vegetable soup,100g,Carbohydrates,148,7.158,5.646,17.139,1.7,3,30,1,1,33.9,16.9,0.2,1.7,12.1,0.7,2.5,68.983,79.9,1.2,304.9,1.7,0.001,1.7,0.028,0.061,0.093,0.076,0.1,2.4,0.3,0.013,1.9,0,0.6,0.036,0.207,0.7
chicken wing cooked,100g,Protein,52,4.923,3.59,0,0,0,0,1,1,2.5,14.7,0.095,0.2,3.4,0.041,1.4,11.058,25.4,0.8,29.2,1,0.092,0.086,0.041,0.036,0.071,0.092,0.097,1,0.1,0.086,0,0.022,0.052,0.092,13.1,0.3
