Food Name,Standard Quantity,Type,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Glycemic Index,Suitable for Diabetes,Suitable for Blood Pressure,Calcium (mg),Cholesterol (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Monounsaturated Fats (g),Nutrition Density,Phosphorus (mg),Polyunsaturated Fats (g),Potassium (mg),Saturated Fats (g),Selenium (mcg),Sodium (mg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin B11 (mcg),Vitamin B12 (mcg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B5 (mg),Vitamin B6 (mg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
heirloom raspberries (black),100g,Fat,535,10.403,53.5,2.972,6,3.963,11,1,1,147,39.069,2.67,1.455,214,2.115,7.485,7.11,147.754,4.689,313,6.559,18.204,241,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,33.125,1.417
heirloom rice bran oil,100g,Protein,361,26.6,26.6,3.8,10,0.05,13,1,1,85,0,0.067,1.16,239,4.058,1.279,13.58,42,1.248,719,0.464,7.2,70,0,0.157,0.081,0,0.013,1.425,1.874,0.09,0,0.474,0.37,3.4,43,0.47
heirloom ricotta (part-skim),100g,Fat,332,0,36.889,0,10,1.81,0,1,1,210,65,0.035,0.2,226,2.115,4.65,18.3,533,0.744,513,11.7,26.7,248,203,0.023,0.724,1.65,0.36,0.101,0.485,0.09,0,0.46,0.51,1.3,0.048,3.62
heirloom satsuma,100g,Fat,189,10.035,11.708,10.872,10,3.963,0,1,1,417,39.069,2.67,1.455,16,2.115,7.485,33.38,147.754,4.689,385,6.559,18.204,328,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,48.487,1.417
heirloom shiitake mushrooms,100g,Fat,469,13.572,34.685,25.637,7,3.963,22,1,1,126,39.069,2.67,1.455,74,2.115,7.485,9.82,147.754,4.689,562,6.559,18.204,341,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,26.106,1.417
heirloom squid,100g,Fat,385,0,42.778,0,7,0,25,1,1,54,233,1.891,0.68,217,2.115,0.107,12.36,221,0.524,675,0.358,44.8,314,10,0.02,0.724,1.3,0.412,2.175,0.485,0.056,4.7,0.46,1.2,0,0.079,1.53
heirloom strawberries (wild),100g,Protein,205,13.226,12.281,10.392,0,1.639,21,1,1,443,143.253,5.56,2.725,224,4.058,6.872,18.71,273.205,2.819,428,5.983,41.361,205,12.275,0.281,0.081,0.308,0.335,5.802,1.874,0.517,4.834,0.474,0.574,4.115,0.106,3.076
heirloom sumac,100g,Fat,594,0,66,0,5,3.963,22,1,1,461,39.069,2.67,1.455,78,2.115,7.485,9.66,147.754,4.689,561,6.559,18.204,304,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
heirloom sunchokes,100g,Fat,389,0,43.222,0,4,3.963,7,1,1,295,39.069,2.67,1.455,262,2.115,7.485,14.86,147.754,4.689,371,6.559,18.204,174,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
heirloom sunflower oil (high-oleic),100g,Fat,481,1.347,44.462,18.863,7,0,23,1,1,326,0,0,0,30,2.115,19.5,6.29,0,65.7,798,10.3,0,185,0,0,0.724,0,0,0,0.485,0,0,0.46,41.08,5.4,0,0
heirloom sunflower seeds,100g,Fat,402,5.079,39.184,7.256,3,5.55,11,1,1,15,0,1.747,3.63,121,2.115,9.075,7.23,1103,31.395,690,4.983,75.7,337,0,0.101,0.724,0,0.235,6.723,0.485,0.768,1.3,0.46,24.92,2.6,1.15,5.05
heirloom sweet potato (japanese),100g,Fat,495,10.421,36.474,31.263,9,3.52,21,1,1,29,3,0.128,2.53,16,2.115,0.695,8.57,80,0.674,768,0.998,21.6,86,85,0.408,0.724,0.05,0.296,3.953,0.485,0.067,4.1,0.46,0.48,1.1,21.842,0.59
heirloom tofu (firm),100g,Fat,341,0,37.889,0,9,3.963,0,1,1,61,39.069,2.67,1.455,187,2.115,7.485,20.47,147.754,4.689,237,6.559,18.204,151,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
heirloom turkey (dark meat),100g,Fat,263,1.283,21.81,15.395,0,0,12,1,1,396,125,0.122,1.31,203,2.115,3.663,3.97,213,2.921,766,2.978,29.9,324,15,0.055,0.724,1.64,0.347,6.973,0.485,0.421,0,0.46,0.08,0,61.49,3.26
heirloom turnip greens,100g,Fat,304,0,33.778,0,5,0.51,9,1,1,401,2,0.245,0.78,100,2.115,0.947,11.98,28,0.863,353,0.772,0.9,286,380,0.044,0.724,0,0.07,0.398,0.485,0.191,26.5,0.46,2.12,358.2,0.091,0.14
heirloom walnut butter,100g,Carbohydrates,263,0,0,65.75,4,6.993,21,1,1,151,4.178,10.219,1.479,223,7.348,1.557,23.23,81.581,1.174,616,1.031,56.024,343,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
heirloom water chestnuts,100g,Fat,287,0.791,24.509,15.813,10,3.963,9,1,1,348,39.069,2.67,1.455,20,2.115,7.485,14.41,147.754,4.689,578,6.559,18.204,190,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,48.252,1.417
heirloom winter melon,100g,Protein,90,18,2,0,1,1.14,11,1,1,196,2,0.021,0.37,25,4.058,0.968,40.14,17,0.86,777,0.736,0.2,291,11,0.033,0.081,0,0.001,0.372,1.874,0.047,10.2,0.474,0.37,5.1,0.093,0.57
heirloom wood ear mushrooms,100g,Fat,337,0,37.444,0,0,3.963,18,1,1,113,39.069,2.67,1.455,289,2.115,7.485,9.44,147.754,4.689,739,6.559,18.204,378,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
"heirloom yogurt (plain, low-fat)",100g,Protein,307,23.615,23.615,0,10,7.04,1,1,1,72,6,0.013,0.08,177,4.058,0.426,17.28,144,0.044,775,1,3.3,288,14,0.044,0.081,0.56,0.214,0.114,1.874,0.049,0.8,0.474,0.03,0.2,52.769,0.89
hemp hearts,100g,Fat,439,0,48.778,0,12,16.61,17,1,1,425,2,0.623,1.64,26,2.115,0.937,11.64,136,0.861,142,0.765,0.7,65,13,0.044,0.724,0,0.166,0.828,0.485,0.722,6.6,0.46,0.78,2.3,0.068,3.61
hemp milk (unsweetened),100g,Fat,260,0,28.889,0,3,0.81,8,1,1,142,0,0.02,0.28,193,2.115,0.59,11.28,9,0.24,152,0.08,0.1,293,90,0,0.724,0,0.01,0.07,0.485,0,0,0.46,2.81,0,0.097,0.06
hemp seed oil,100g,Fat,119,0,13.222,0,10,3.963,20,1,1,430,39.069,2.67,1.455,33,2.115,7.485,52,147.754,4.689,118,6.559,18.204,214,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
hemp seeds,100g,Fat,327,4.192,32.341,4.791,3,0.48,12,1,1,200,0,1.4,6.36,253,2.115,23.924,9.27,667,25.491,429,9.055,34.4,147,3,0.699,0.724,0,0.09,5.8,0.485,0.4,0,0.46,1.68,0,3.75,6.73
hen of the woods (maitake),100g,Carbohydrates,191,8.584,10.73,15.023,10,6.993,43,1,1,118,4.178,10.219,1.479,42,7.348,1.557,24.75,81.581,1.174,315,1.031,56.024,483,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,65.663,0.727
herb tea,100g,Carbohydrates,2,0,0,0.5,0,0,0,1,1,4,0,0.059,0.2,2,0.019,0.043,4.6,0,0.071,18,0.014,0,0.064,0,0.007,0.093,0,0.051,0,0.096,0,0,0,0,0,0.199,0.006
herring,100g,Protein,275,55,6.111,0,0,0,20,1,1,93,60,0.092,1.1,21,4.058,3.736,20.74,236,2.133,243,2.04,36.5,175,28,0.092,0.081,13.67,0.233,3.217,1.874,0.302,0.7,0.474,1.07,0.1,0.072,0.99
herring cooked,100g,Fat,290,0,32.222,0,0,0,0,1,1,105.8,110.1,0.2,2,58.6,0.082,6.8,158.304,433.3,3.9,599.2,3.7,0.066,0.2,0.076,0.2,0.067,0.06,0.4,5.9,1.1,0.5,1,0,2,0.074,0.092,1.8
herring fish oil,100g,Fat,123,0,13.667,0,0,0,0,1,1,0,104.2,0,0,0,0,7.7,13.6,0,2.1,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herring kippered,100g,Protein,87,10.235,5.118,0,0,0,0,1,1,33.6,32.8,0.081,0.6,18.4,0.062,2,49.314,130,1.2,178.8,1.1,0.053,0.4,0.005,0.07,0.02,0.068,0.1,1.8,0.4,0.2,0.4,0.004,0.6,0.086,23.9,0.5
herring raw,100g,Protein,291,34.126,17.166,0,0,0,0,1,1,104.9,110.4,0.2,2,58.9,0.098,6.9,157.898,434.2,3.9,601.7,3.8,0.022,0.2,0.027,0.2,0.084,0.016,0.4,5.9,1.2,0.6,1.3,0.005,2,0.033,0.133,1.8
hibiscus tea,100g,Carbohydrates,74,0.894,1.291,14.701,0.6,12,40,1,1,2,0,0.1,17.3,2,0,0.2,73.7,6,0.04,18,0.5,0,0.091,0,2.6,0.03,0,0.2,0,0,0,36.8,0,0,0,0.179,0.2
hickory nuts (north america),100g,Fat,512,0,56.889,0,6,3.963,7,1,1,83,39.069,2.67,1.455,216,2.115,7.485,7.64,147.754,4.689,256,6.559,18.204,261,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
hickorynuts dried,100g,Fat,788,0,87.556,0,7.7,0,30,1,1,73.2,0,0.9,2.5,207.6,5.5,39.1,200.2,403.2,26.3,523.2,8.4,0.038,0.053,0,1,0.042,0,0.2,1.1,2.1,0.2,2.4,0,0,0,0.003,5.2
high protein bread dr zaks,100g,Carbohydrates,152,0,5.17,26.367,0,0.6,40,1,1,0,0,0,0,0,0,15.3,18.3,0,2.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hijiki,100g,Carbohydrates,99,0,0,24.75,7,6.993,31,1,1,28,4.178,10.219,1.479,94,7.348,1.557,31.21,81.581,1.174,220,1.031,56.024,205,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
hoisin sauce,100g,Carbohydrates,35,0.501,0.501,7.12,0.4,4.4,40,1,1,5.1,0.5,0.061,0.2,3.8,0.025,0.2,13.882,6.1,0.3,19,0.036,0.058,0.3,0,0.014,0.069,0,0.068,0.2,0.061,0.088,0.097,0,0.046,0.031,7.1,0.022
hominy canned,100g,Carbohydrates,119,2.439,1.524,23.881,4.1,3,50,1,1,16.5,0,0.081,1,26.4,0.1,0.4,49,57.8,0.7,14.9,0.2,0.03,0.6,0,0.055,0.084,0,0.066,0.003,0.3,0.032,0,0,0.037,0.026,0.136,1.7
hominy/nixtamalized corn (mexico),100g,Carbohydrates,177,0,0,44.25,9,1.46,43,1,1,189,4,0.029,0.6,17,7.348,0.833,20.12,34,0.719,455,1.102,2.9,77,20,0.003,0.079,0,0.007,0.033,0.507,0.036,0.3,3.945,0.28,1.4,0.08,1.02
honey,100g,Carbohydrates,64,0.074,0,15.926,0.025,17.2,55,1,1,1.3,0,0.061,0.017,0.4,0.098,0,18.892,0.8,0,10.9,0,0.021,0.011,0,0,0.022,0,0.003,0.012,0.03,0.004,0.1,0,0,0,3.6,0.008
honey cereali general mills,100g,Carbohydrates,104,0,6.933,10.4,0,0,55,1,1,0,0,0,0,0,0,3,5,0,0.188,0,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
honey loaf,100g,Protein,85,10.212,3.714,2.682,0,2.6,55,1,1,30.8,26.2,0.085,0.6,11.4,0.002,1.7,47.5,96.9,0.3,224.6,1.3,0.038,0.4,0,0.2,0.046,0.028,0.2,1.8,0.4,0.2,0,0.021,0.1,0.048,38.4,1.8
honey mustard dressing,100g,Fat,70,0.101,6.162,3.535,0.057,2.4,55,1,1,1.8,4.4,0.003,0.07,0.8,0.048,1.7,11.752,3.3,3.4,3,0.8,0.001,0.019,0.082,0.031,0.056,0.047,0.078,0.003,0.068,0.017,0.006,0.092,0.5,0.085,4.9,0.044
honey mustard dressing fat free,100g,Carbohydrates,25,0.194,0.194,5.62,0.2,2.7,55,1,1,3.6,0.2,0.014,0.053,2,0.027,0.1,10.426,5.6,0.056,10.4,0.031,0.096,0.2,0.01,0.077,0.049,0,0.019,0.093,0.001,0.039,0.3,0,0.1,0.018,8.4,0.061
honey smoked ham cooked,100g,Protein,67,9.856,1.294,3.982,0,0,55,1,1,3.3,12.1,0.039,0.2,4.4,0.096,0.9,19,211.2,0.2,90.8,0.6,0.099,0.5,0,0.2,0.013,0.091,0.097,1.3,0.1,0.1,0.3,0,0,0,38.5,0.5
honeydew melon,100g,Carbohydrates,194,5.389,0,43.111,3,14.4,15,1,1,148,0,0.007,0.3,64,0.003,0.049,61.5,19.5,0.1,577,0.055,0.099,220,0,0.092,0.052,0,0.066,0.7,0.3,0.2,31.9,0,0.043,0.083,0.159,0.2
horchata,100g,Carbohydrates,15,0.097,0.195,3.214,0,2.6,40,1,1,5.1,0,0.028,0.057,0.8,0.045,0,8.717,4.2,0,9.6,0,0.005,0.013,0,0,0,0,0,0.016,0,0.029,0,0,0.022,0,24.6,0.058
horned melon kiwano,100g,Carbohydrates,92,3.357,2.359,14.335,0,0,40,1,1,27.2,0,0.043,2.4,83.6,0.043,0,62.8,77.3,0,257.1,0,0,0.095,0,0.042,0.04,0,0.016,1.2,0.4,0.1,11.1,0,0,0,0.186,1
horse gram,100g,Carbohydrates,186,8.23,8.23,19.752,11,6.993,36,1,1,197,4.178,10.219,1.479,29,7.348,1.557,29.05,81.581,1.174,509,1.031,56.024,264,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,63.788,0.727
horseradish,100g,Carbohydrates,37,2.878,0.822,4.522,6,0.4,21,1,1,13,0,2.8,0.052,69,1.4,0.005,1.133,0.062,0.029,299,0.007,12.3,478,0,0,0.056,0.052,0,0.02,0.037,0.048,0.081,1.2,0,0.012,4.3,0.016
hot chile pepper dried,100g,Carbohydrates,2,0.057,0.057,0.315,0.1,0.2,0,1,1,0.2,0,0.016,0.062,0.4,0.076,0.011,1.07,0.8,0.077,9.4,0.001,0.043,0.041,0,0.071,0.048,0,0.028,0.085,0.091,0.023,0.2,0,0.079,0.046,0.087,0.059
hot sour soup,100g,Carbohydrates,91,6.094,2.844,10.258,1.2,1,40,1,1,44.3,48.9,0.032,1.5,21,0.2,0.7,65.954,74.6,0.7,128.2,0.5,0.084,0.9,0.088,0.032,0.021,0.006,0.03,1.2,0.5,0.1,0,0.017,0.9,0.059,0.211,0.5
hotcakes mcdonalds,100g,Carbohydrates,113,2.971,2.872,18.817,0.7,4.4,40,1,1,41.7,6.4,0.054,0.9,9.4,0.1,0.6,68.2,129,1.5,85.8,0.6,0,0.2,0,0.1,0.088,0,0.1,1.1,0.4,0.005,0,0,0.3,0,23.9,0.2
hotcakes sausage mcdonalds,100g,Fat,776,30.692,69.106,0.202,2.1,45.7,65,0,1,134.6,50.2,0.2,3.2,37,0.4,9,292.7,451.4,6.5,390.7,7.3,0,0.9,0,0.6,0.1,0.004,0.5,5.2,1.4,0.2,0,0,0,0,0,1.3
hotcakes with syrup mcdonalds,100g,Carbohydrates,601,0,0,100,2,45.5,65,0,1,126,19.9,0.1,2.8,28.7,0.4,1.9,259.4,391.2,4.6,276.3,1.8,0,0.6,0,0.4,0.1,0,0.4,3.2,1.1,0.1,0,0,0,0,0,0.6
hotdog,100g,Fat,383,0,42.556,0,0,0,50,1,1,37.2,69.8,0.1,3.7,20.2,0.1,10.8,109,153.5,2.7,226.3,8.1,0.09,1.1,0,0.4,0.096,0.043,0.4,5.8,0.8,0.094,0.2,0,0,0,0.084,3.1
hotdog roll,100g,Carbohydrates,117,4.164,1.625,21.43,0.8,3.1,50,1,1,0.008,0,60.5,0.095,1.4,9.7,0.3,27.796,0.2,0.7,42.4,0.4,51.2,0.2,0.004,0.007,0.2,0.095,0.03,0.1,1.8,0,0.048,0.5,0,0.1,14.4,0.087
hotdog with chili,100g,Carbohydrates,296,0,0,74,0,0,50,1,1,19.4,51.3,0.1,3.3,10.3,0.1,6.6,83.6,191.5,1.2,166.4,4.9,0.038,0.5,0,0.2,0.031,0.017,0.4,3.7,0.5,0.003,2.7,0,0,0,0.054,0.8
hubbard squash cooked,100g,Carbohydrates,57,2.393,0.598,10.511,5.5,5.6,40,1,1,0.029,0,19,0.095,0.5,24.7,0.042,21.554,0.2,0.3,26.6,0.1,406.6,0.5,0,0,0.084,0.001,0,0.064,0.6,0.6,0.2,12.4,0,0.2,0.173,0.053
